Function	Genes
DNA-binding transcription factor activity; Protein heterodimerization activity	IKZF1
Interleukin-12 receptor binding; Interleukin-23 receptor activity	IL23R
Gene expression (Transcription)	IL2RA
Interleukin-2 receptor activity; Interleukin-2 binding	IL2RB
Developmental Biology	IL6R
Antigen binding; Interleukin-7 receptor activity	IL7R
"Phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity; Inositol-1,4,5-trisphosphate 5-phosphatase activity"	INPP5B
Developmental Biology	INS
DNA-binding transcription factor activity; Transcription factor binding	IRF4
Extracellular matrix organization	ITGB8
Neuronal System	KCNB2
Muscle contraction	KCNQ1
Organelle biogenesis and maintenance	KIF17
Signaling receptor activity; Carbohydrate binding	KLRG1
Ubiquitin-protein transferase activity; Actinin binding	LMO7
G protein-coupled receptor activity; Phospholipid binding	LPAR3
"Protein homodimerization activity; Transferase activity, transferring phosphorus-containing groups"	LRRK2
Vesicle-mediated transport	M6PR
Cellular responses to external stimuli	MAPK14
Programmed Cell Death	MAPT
Gene expression (Transcription)	NFIB
Calcium ion binding; Nuclear receptor coactivator activity.	NOTCH2
Gene expression (Transcription)	NR4A3
Cell Cycle	NUP210
Gene expression (Transcription)	PAX5
Magnesium ion binding; Phosphoglucomutase activity	PGM1
Hemostasis	PHACTR2
Transferase activity; Transferring phosphorus-containing groups; Kinase activity	PI4KA
"PDZ domain binding; Phosphatidylinositol-3,4-bisphosphate binding"	PLEKHA1
Developmental Biology	POU5F1
Developmental Biology	PRKCQ
Transferase activity; Transferring phosphorus-containing groups; Protein tyrosine kinase activity	PRKD2
Cell Cycle	PSMB2
Glutathione binding; Prostaglandin-E synthase activity	PTGES
G protein-coupled receptor activity; Prostaglandin F receptor activity	PTGFR
Phosphatase activity; Phosphatidylinositol 3-kinase regulatory subunit binding	PTPN13
Protein kinase binding; Integrin binding	PTPN2
Phosphatase activity; Protein tyrosine phosphatase activity	PTPN22
GTP binding; GDP binding	RAB5B
Hemostasis	RAD51B
Hemostasis	RASGRP1
Gene expression (Transcription)	RBFOX1
Cell Cycle	RMI2
Oxidoreductase activity	RNLS
Gene expression (Transcription)	RPAP2
Cellular responses to external stimuli	RPL37A
Metabolism of RNA	RPP21
Cellular responses to external stimuli	RPS26
Developmental Biology	RPS6KA4
Organelle biogenesis and maintenance	SEPT2
Hemostasis	SH2B3
Hemostasis	SIRPG
Cell-Cell communication	SKAP2
Neuronal System; Transport of small molecules	SLC1A2
Transport of small molecules	SLC4A10
Developmental Biology	SMAD2
DNA-binding transcription factor activity; Sequence-specific DNA binding	SMAD3
Metabolism of proteins	SNCAIP
Muscle contraction	SORBS1
DNA-binding transcription factor activity; Sequence-specific DNA binding	STAT4
Oxidoreductase activity; Electron transfer activity	SUOX
Transporter activity; ATPase-coupled transmembrane transporter activity	TAP2
DNA-binding transcription factor activity; Chromatin binding	TCF7L2
Metabolism of RNA	THADA
Extracellular matrix organization	TLL1
Developmental Biology	TNF
Signaling receptor binding; Tumor necrosis factor receptor binding	TNFSF15
Muscle contraction	TRDN
Ligase activity	TRIM31
Transferase activity; Transferring phosphorus-containing groups; Protein tyrosine kinase activity	TYK2
Developmental Biology	UNC5D
Metabolism of proteins	VARS2
DNA-binding transcription factor activity	BACH2
Enables signaling receptor binding	BTN2A3P
Heparin binding	C6orf15
Pseudogene	COL11A2P1
Calcium ion binding	EYS
Indeterminate Leprosy and Borderline Leprosy	HCG21
Acquired Immunodeficiency Syndrome and Thyroid Gland Follicular Carcinoma	HCP5
"RNA Gene, and is affiliated with the lncRNA class"	HLA-DQB1-AS1
Peptide antigen binding	HLA-DRB5
Pseudogene	HLA-DRB9
Complex Cortical Dysplasia With Other Brain Malformations	LINC00243
Progeria-associated lipodystrophy	MUCL3
Nucleic acid binding	NELFE
Diseases associated with PSORS1C3 include Psoriasis and Psoriasis 8	PSORS1C3
N/A	RF00554
Pseudogene	RPL3P2
Putative surfactant protein	SFTA2
Chloride channel activity	SLC26A8
Tubulin binding	STMND1
"RNA Gene, and is affiliated with the lncRNA class"	TRIM31-AS1
Identical protein binding and ligase activity	TRIM39
Zinc ion binding	TRIM39-RPP21
"Hypogonadotropic Hypogonadism 14 With Or Without Anosmia and Spermatogenic Failure, Y-Linked, 2"	TSBP1
Sarcoidosis 2	TSBP1-AS1
N/A	USP8P1
N/A	Z94721.1
N/A	AL035530.1
N/A	AL035530.2
N/A	AL355499.1
N/A	AL355499.2
N/A	AL356234.2
N/A	AL445259.1
N/A	AL645922.1
N/A	AL645933.2
N/A	AL662791.2
N/A	AL669918.1
N/A	AL671277.1
